Phy007AMEX_MYZPE	Phy0010D28_ACYPI
Phy007AY4X_MYZPE	Phy000YIAO_ACYPI
Phy007ANOP_MYZPE	Phy00424CQ_ACYPI
Phy007ATBO_MYZPE	Phy0010BM3_ACYPI
Phy007AVEG_MYZPE	Phy0010C8I_ACYPI
Phy007AVL1_MYZPE	Phy000XQ7J_ACYPI
Phy007AWDM_MYZPE	Phy0010CUX_ACYPI
Phy00BX3OX_ACYPI	Phy007AUZ2_MYZPE
Phy007ANJV_MYZPE	Phy0010904_ACYPI
Phy007AWS9_MYZPE	Phy000YQJS_ACYPI
Phy007ANR6_MYZPE	Phy0010CHP_ACYPI
Phy007AO3L_MYZPE	Phy0041ZIK_ACYPI
Phy00BX1GM_ACYPI	Phy007ARSF_MYZPE
Phy007APS8_MYZPE	Phy00105WP_ACYPI
Phy007AN5M_MYZPE	Phy0010G3E_ACYPI
Phy007ATV8_MYZPE	Phy00422AJ_ACYPI
Phy007AS5O_MYZPE	Phy00427AU_ACYPI
Phy007AWKY_MYZPE	Phy0010F1E_ACYPI
Phy007AVAA_MYZPE	Phy0042EEO_ACYPI
Phy00BX2LR_ACYPI	Phy007AOVX_MYZPE
Phy007AUEV_MYZPE	Phy0010ES6_ACYPI
Phy007AVLR_MYZPE	Phy00428ZO_ACYPI
Phy007AZNR_MYZPE	Phy0010DI1_ACYPI
Phy007AVVM_MYZPE	Phy0042D1M_ACYPI
Phy007ANT4_MYZPE	Phy00423B8_ACYPI
Phy007AT2R_MYZPE	Phy0010C6B_ACYPI
Phy00BWVA9_ACYPI	Phy007AYHJ_MYZPE
Phy007ATLP_MYZPE	Phy0042A9T_ACYPI
Phy007ANJZ_MYZPE	Phy0010HTN_ACYPI
Phy007AVDW_MYZPE	Phy00422Q3_ACYPI
Phy007AUQA_MYZPE	Phy0010GJT_ACYPI
Phy007AY3W_MYZPE	Phy0010GRA_ACYPI
Phy007ARGX_MYZPE	Phy0042F1O_ACYPI
Phy007ASV1_MYZPE	Phy0010BU8_ACYPI
Phy00BX41V_ACYPI	Phy007AYU2_MYZPE
Phy00BWVPM_ACYPI	Phy007AP4J_MYZPE
Phy00BWXUW_ACYPI	Phy007ANU1_MYZPE
Phy007ASWR_MYZPE	Phy0042AQC_ACYPI
Phy007AQTW_MYZPE	Phy00422JE_ACYPI
Phy007AR10_MYZPE	Phy0010EOY_ACYPI
Phy007AS56_MYZPE	Phy000YFCC_ACYPI
Phy007AQ3S_MYZPE	Phy00422FO_ACYPI
Phy00BWWX4_ACYPI	Phy007AVSM_MYZPE
Phy00BWY8I_ACYPI	Phy007AXA1_MYZPE
Phy007ATV9_MYZPE	Phy000YIWL_ACYPI
Phy007ARKI_MYZPE	Phy0010E72_ACYPI
Phy00BWX26_ACYPI	Phy007AVA2_MYZPE
Phy007ASLM_MYZPE	Phy0042B2G_ACYPI
Phy007ASDT_MYZPE	Phy0010FWE_ACYPI
Phy007AR55_MYZPE	Phy00422NR_ACYPI
Phy007AXG6_MYZPE	Phy0042AK1_ACYPI
Phy007AYRM_MYZPE	Phy00424H0_ACYPI
Phy007ANP1_MYZPE	Phy0041ZJG_ACYPI
Phy007AQ3V_MYZPE	Phy0010CPR_ACYPI
Phy007AVQB_MYZPE	Phy0042EF4_ACYPI
Phy00BX273_ACYPI	Phy007ANUV_MYZPE
Phy007ASJ7_MYZPE	Phy0010FJG_ACYPI
Phy00BX239_ACYPI	Phy007AWOG_MYZPE
Phy007AS45_MYZPE	Phy0010GWU_ACYPI
Phy007AO97_MYZPE	Phy000XPTK_ACYPI
Phy007AYR0_MYZPE	Phy00420LL_ACYPI
Phy007AT1B_MYZPE	Phy0042CN4_ACYPI
Phy00BWZ6L_ACYPI	Phy007AN98_MYZPE
Phy00BWX4J_ACYPI	Phy007ALW2_MYZPE
Phy007ANV5_MYZPE	Phy0010GVV_ACYPI
Phy007ASZQ_MYZPE	Phy0010FL3_ACYPI
