2_21	1_189	39.623	53	30	2	289	340	3	54	6.11e-04	35.8
2_22	1_36	88.557	201	21	2	8	207	1	200	5.43e-120	334
2_22	1_116	50.704	71	33	1	80	148	123	193	2.79e-14	64.3
2_22	1_22	49.180	61	31	0	84	144	72	132	1.05e-13	63.5
2_22	1_34	40.476	84	46	2	70	149	45	128	6.80e-12	58.2
2_24	1_0	97.922	385	8	0	1	385	1	385	0.0	792
2_24	1_385	23.897	272	160	6	23	285	243	476	5.00e-16	74.7
2_24	1_385	31.818	110	65	4	284	385	546	653	2.75e-07	47.4
2_25	1_130	98.315	356	6	0	1	356	1	356	0.0	722
2_26	1_239	85.924	341	48	0	1	341	1	341	0.0	625
2_26	1_100	29.960	247	135	11	124	337	96	337	3.86e-20	84.7
2_27	1_363	82.540	315	55	0	1	315	1	315	0.0	553
2_28	1_209	31.579	323	203	8	5	320	5	316	1.94e-47	157
2_29	1_300	69.074	1274	266	38	1	1204	1	1216	0.0	1482
2_29	1_70	44.922	256	134	5	947	1200	173	423	3.01e-64	219
2_29	1_91	38.023	263	145	9	946	1202	51	301	3.33e-42	152
2_29	1_369	32.883	222	135	9	991	1201	206	424	3.41e-23	98.6
2_30	1_71	84.839	310	46	1	1	310	27	335	0.0	534
2_31	1_108	81.501	773	131	6	24	788	31	799	0.0	1285
2_32	1_153	85.821	402	56	1	1	401	1	402	0.0	735
2_33	1_428	65.986	588	171	4	7	585	33	600	0.0	774
2_33	1_432	64.605	582	179	3	7	585	13	570	0.0	772
2_33	1_429	27.014	422	209	16	239	581	28	429	7.96e-38	140
2_34	1_277	76.293	464	108	2	19	482	2	463	0.0	737
2_34	1_213	37.642	441	260	6	34	462	69	506	2.35e-102	311
2_35	1_279	86.545	929	105	3	1	909	1	929	0.0	1656
2_35	1_416	33.333	60	38	1	356	413	230	289	1.98e-04	39.3
2_35	1_75	22.346	179	115	5	381	547	116	282	3.74e-04	38.5
2_36	1_188	52.408	353	125	4	23	351	58	391	2.88e-119	357
2_36	1_158	29.664	327	192	10	57	355	70	386	7.66e-30	118
2_36	1_158	50.000	58	29	0	423	480	618	675	7.00e-10	55.8
2_36	1_9	30.154	325	183	10	47	340	56	367	1.19e-29	117
2_36	1_9	37.500	56	35	0	425	480	666	721	2.17e-07	47.8
2_36	1_253	28.267	329	196	9	55	358	21	334	6.70e-26	106
2_36	1_253	36.508	63	40	0	425	487	664	726	8.84e-09	52.4
2_36	1_165	26.957	345	201	13	36	345	261	589	3.74e-25	104
2_36	1_165	56.250	32	14	0	425	456	946	977	1.24e-04	39.3
2_36	1_387	28.283	297	169	9	55	335	133	401	1.31e-24	100
2_36	1_90	27.879	330	179	11	55	355	142	441	2.96e-24	101
2_36	1_90	50.000	58	29	0	423	480	702	759	8.41e-10	55.8
2_36	1_356	28.221	326	179	11	57	355	193	490	3.57e-24	100
2_36	1_337	35.185	162	100	2	196	356	1247	1404	8.08e-24	100
2_36	1_357	31.016	187	122	4	168	348	938	1123	2.82e-20	89.4
2_36	1_233	35.000	160	101	2	183	340	79	237	1.02e-19	86.7
2_36	1_233	37.500	56	35	0	425	480	536	591	1.75e-07	48.1
2_36	1_315	25.786	318	190	7	58	339	363	670	4.56e-19	85.5
2_36	1_156	53.731	67	31	0	414	480	412	478	2.90e-17	79.0
2_36	1_156	34.328	67	38	2	34	100	87	147	6.03e-05	40.0
2_36	1_56	52.941	68	31	1	414	480	131	198	3.33e-17	75.5
2_36	1_74	42.105	76	44	0	412	487	583	658	1.90e-16	76.6
2_36	1_74	31.746	189	114	6	168	348	118	299	4.16e-15	72.4
2_36	1_118	27.044	159	105	3	126	284	178	325	9.23e-10	55.5
2_36	1_242	25.731	171	123	3	216	384	5	173	1.02e-09	55.1
2_36	1_5	29.310	116	78	2	230	341	192	307	3.40e-09	53.5
2_36	1_5	39.344	61	36	1	413	472	594	654	1.49e-05	42.0
2_36	1_197	41.509	53	30	1	289	341	291	342	5.02e-07	46.2
